,highly_variable,means,dispersions,dispersions_norm
Ptp4a1,False,4.45473127725821,6.07247866703224,0.26461324
Prim2,True,2.411501820160203,6.182399143406736,0.71110725
Rab23,False,2.3764593090421706,5.908686573599283,-0.5295653
Bag2,False,0.8199259209623324,5.976461451681099,0.44857657
Zfp451,False,2.7808232004370375,5.849287792400898,-0.8246882
Bend6,False,1.7996552506024466,5.811270202469213,-0.82494813
Dst,True,1.9114739361590158,6.3240761849466995,1.23084
Gm37233,False,1.2772417671075038,6.060755849890766,0.21423335
Ccdc115,False,4.152322610010995,6.079094891360949,0.358636
Imp4,False,4.271531712309962,6.116473982897516,0.46431088
Ptpn18,False,6.832997327332558,6.248400423986343,-0.2790946
Arhgef4,False,1.850619421908329,6.0638625343297905,0.18766932
Fam168b,True,3.3869448828134225,6.163490989695847,0.6037862
Plekhb2,False,4.544406011162755,6.00793825701199,-0.028339928
Hs6st1,False,1.3145790859118467,5.858232471318514,-0.5151199
Uggt1,False,3.120523387909962,6.095625485652595,0.38345903
Neurl3,True,2.9509273727315546,6.335409916749637,1.5594662
Arid5a,True,3.7950500317477234,6.185720559738561,0.9381681
4930403P22Rik,False,0.6362035740783769,5.618491798770362,-0.85306513
Kansl3,False,4.0025718704237585,6.004811402491002,-0.04510981
Lman2l,False,2.913718274392643,5.978158321410634,-0.19265105
Cnnm4,False,1.7341060341851542,6.045380972710169,0.11357859
Cnnm3,True,2.1198094152174947,6.157369725880419,0.597655
Ankrd39,False,3.701164677819832,5.9378227387563225,-0.40920675
Sema4c,True,2.8461826752874657,6.301391484979515,1.392625
Fam178b,True,0.45090307074131813,5.867125222437334,1.3711067
Cox5b,False,6.172718562585588,5.982870307209145,-0.5702218
Actr1b,False,3.6936468607323265,5.938825768105189,-0.4037551
Zap70,False,5.77866169821579,6.095055983030681,-0.15427111
Tmem131,False,2.304291097896976,5.936268619993796,-0.40454257
Inpp4a,False,3.016403279381159,6.026910019522936,0.046448488
Coa5,False,3.6036152609443923,6.079192984723073,0.2482685
Unc50,False,4.539813761521853,5.944977230302598,-0.31412417
Mgat4a,True,1.7740841085708516,6.261590190077592,0.98033977
2010300C02Rik,False,1.6867733800879043,6.058357664706855,0.16560085
Tsga10,True,1.484809629094857,6.337951306946721,1.2125053
Lipt1,False,1.255482363739291,6.023908361839044,0.08153343
Mitd1,False,4.417252038999617,6.101889057403889,0.39810893
Mrpl30,False,4.890359243363609,5.89442270392518,-0.8568766
Txndc9,False,4.5540163644334495,6.003043712550331,-0.05055659
Eif5b,True,5.098421783178642,6.218020809470148,1.2384272
Rev1,False,2.130937896857003,5.925613524284817,-0.45283952
Aff3,True,0.4762489882584268,5.935462242490737,1.5757909
Gm16152,False,0.9485647095332624,5.794438072112059,-0.21329302
Chst10,False,2.4259264214335112,5.812577801553564,-0.965203
Pdcl3,False,4.334270752400078,5.913814747944101,-0.45557272
Rpl31,False,6.899206091528919,6.587435104499964,0.3794396
Cnot11,False,3.563786756989991,6.043381395367923,0.09723703
Rnf149,True,3.220771329706276,6.25032757036813,0.97001
Map4k4,True,3.02877238957419,6.1358004218356585,0.5804944
Il1r2,True,2.8069796948961176,6.9619131657584665,4.6321106
Il1rl2,False,1.8236430596499846,6.0490472086158755,0.12827615
Il1rl1,False,2.0301725573804776,5.983845845422605,-0.1331096
Il18r1,True,4.862449093148561,6.307284596288936,1.8164119
Il18rap,True,3.807709344285643,6.114191314910866,0.54939216
Mfsd9,False,1.5299846228355043,6.044522894722892,0.15577315
Mrps9,False,3.7806581083125153,5.989289631492322,-0.12947378
Tgfbrap1,False,2.326591657970448,5.885052504738058,-0.63669276
AI597479,True,2.7050881286548627,6.292205013332613,1.3475705
Fhl2,False,2.2932604819631797,5.7732255106491035,-1.1435773
Nck2,False,2.5670602553607145,5.942560640352415,-0.37602237
Uxs1,False,2.7661174377565314,5.8802103587331365,-0.6730305
Tpp2,False,4.346587468289455,5.984907521422502,-0.13287795
Tex30,False,2.914544489455631,5.853522519218799,-0.80391926
Kdelc1,False,2.1140206727954367,5.8010390730912516,-1.0175053
Bivm,False,1.5414235891235348,5.899409863522092,-0.3668266
Ercc5,False,3.0713666089413123,5.986416223340319,-0.1521507
Wdr75,False,2.5185286164798093,5.926278879304365,-0.44982365
Slc39a10,True,2.060650215118254,6.273134307038024,1.026619
4933411E06Rik,False,0.472936042518813,5.232105742009666,-0.5309145
Nabp1,True,5.069507458895996,6.287845965794201,1.6905464
Gm17767,True,0.9313575748054752,6.326357082448284,1.7208596
Stat4,False,4.99012536270437,6.0044725671956405,-0.14430168
Stat1,True,5.728288133238463,6.348881691944319,0.94373506
Gls,False,4.237455559632944,6.087359692334502,0.3321592
Nab1,True,4.803349109449124,6.144423948112167,0.7618861
Tmem194b,False,3.0990959671573814,5.868791920466244,-0.72903144
Mfsd6,False,2.9389011493748693,6.058786085066017,0.20278259
Inpp1,False,4.626827467120857,6.001259336995337,-0.058655985
Hibch,False,2.5640305599083715,5.831957570484872,-0.8773592
1700019D03Rik,False,2.4260582173633627,6.077252961271584,0.23450519
Pms1,False,2.7444290180546376,6.0728152258750425,0.27158758
Ormdl1,False,4.328441796014042,5.9108474640680075,-0.46904144
Osgepl1,False,2.5625992321626163,5.843362016839464,-0.82566565
Asnsd1,False,4.427903803716821,5.908950367309231,-0.4776525
Stk17b,False,5.86671049357776,6.039582492655712,-0.3599501
Gtf3c3,False,2.1180529085665607,6.061567521922582,0.1634069
Pgap1,True,3.0287774047720206,6.131348982997043,0.5586626
Ankrd44,False,5.174945101701943,6.070742934020266,0.28480017
Sf3b1,False,5.939416550254417,6.0282348201933,-0.40202385
Coq10b,True,4.1374293680303955,6.131008949703006,0.6407994
Hspd1,False,4.431023980484464,5.98417683934882,-0.13619457
Hspe1,False,5.4639828049543935,5.991603220572786,-0.34797132
Mob4,False,4.611288043767019,5.941271157276236,-0.3309463
Rftn2,False,1.1430621294429064,6.1190883969500645,0.42430803
Mars2,True,2.2890640526706987,6.279475427634308,1.1511304
Plcl1,False,1.888518169465134,5.850717278267686,-0.6668088
1700066M21Rik,True,1.9379248905976991,6.243417553024946,0.9074875
Tyw5,False,2.0686147229299476,5.8074354911545605,-0.8403211
9430016H08Rik,False,3.6269725613021477,5.881459877450535,-0.5856493
Kctd18,False,3.3330988772381,6.1075823123628075,0.3679974
Sgol2a,True,1.71361038360208,6.56432307183987,2.1939657
Bzw1,False,5.145905706941164,5.878744208712204,-0.9583952
Clk1,False,5.583069304291206,6.220197640384369,0.47849008
Ppil3,False,3.996525896250429,5.961280234899337,-0.2817105
Nif3l1,False,2.8655265367470597,5.870403989985711,-0.7211252
Orc2,False,3.1181165030875033,5.941142294006671,-0.37419376
Fam126b,True,2.8874510801374584,6.296760877973618,1.3699145
Ndufb3,False,4.985915110085468,5.886042029045674,-0.91114163
Cflar,False,4.406831728436846,6.0148434074426795,0.0030030045
Casp8,False,4.806807726077668,6.008454563167551,-0.11851819
Trak2,False,2.1977608838466174,6.018989937376324,-0.029586945
Stradb,False,2.760146168717559,6.0862133883218466,0.337298
Tmem237,False,2.32891030035643,5.945524722320294,-0.36258692
G730003C15Rik,True,0.8422845242285869,6.069545168777069,0.7870456
Als2,False,1.676904301005723,5.885696034002449,-0.5265824
Sumo1,False,5.613654664923387,5.876742771585847,-0.7632384
Nop58,False,3.7422806091814245,6.042330407469536,0.15881358
Bmpr2,False,1.291616520296415,6.077119887313805,0.27316564
Fam117b,False,3.217622863647601,6.080099722670866,0.25209257
Ica1l,False,1.3165032148758455,5.624878259108372,-1.3555051
Wdr12,False,2.907571887313185,5.883828248543508,-0.6552868
Carf,False,1.3881021170427619,6.104423563724823,0.37149516
Nbeal1,False,3.0415055957164028,6.004826061544637,-0.06186085
Cyp20a1,True,2.812413406237,6.170026790334642,0.7483554
Abi2,False,2.6879972033762995,5.990247608577631,-0.13335992
Raph1,False,2.956674455083759,6.093148130428001,0.371309
Cd28,False,6.469905670979247,6.500837642218904,0.40957612
Gm11579,False,2.1334200987194736,6.097308670072154,0.32541284
Ctla4,True,5.758810484979355,6.412418491003627,1.1734463
Icos,True,5.898416007467846,6.4176358825331175,1.041758
Ino80d,False,3.6608983313311647,6.030791205801413,0.044139273
Gm20342,True,3.059144879614639,6.2855022037352475,1.314697
Ndufs1,False,3.5069559940776065,5.901024806405958,-0.5031364
Eef1b2,False,6.353471891371367,6.007292574556436,-0.640272
Fastkd2,False,1.9570922651787779,5.885119652260788,-0.52889305
Klf7,True,2.6422418468499815,6.174144540227489,0.76855063
Creb1,False,3.7898019453549625,6.03954642397002,0.14368206
Mettl21a,False,3.48183753436623,5.861730235515337,-0.6688569
Ccnyl1,False,0.8817034368180299,5.678902321467258,-0.6334017
Fzd5,False,0.4073611091458679,5.055658897812784,-1.059411
Plekhm3,False,2.5096500336796344,6.099528415278493,0.3354744
Idh1,False,1.8391462605493025,5.814535110630991,-0.8118595
Pikfyve,True,2.257949542452155,6.259124718107007,1.0588857
Map2,False,2.055320649043406,5.8051176312103845,-0.8496132
Rpe,False,3.730206930086217,5.917401852143535,-0.5201984
Kansl1l,False,3.0802961068365344,6.123527435379543,0.52030236
Acadl,False,4.71699978142842,5.894641680844999,-0.5426006
Lancl1,False,3.350754532996427,6.025680477598236,0.022585334
Ikzf2,True,4.9911290029570505,6.998245102591877,6.2903943
Bard1,False,1.4937356944372144,5.778221304407124,-0.80326647
Atic,False,3.392075974244556,5.965610443956166,-0.23075348
Fn1,True,1.4520310692742024,6.441521798237421,1.5854968
Pecr,False,1.3255946353999033,5.717173215739611,-1.0231206
Xrcc5,False,2.9904233744552156,5.954227057790611,-0.3100204
Smarcal1,False,1.8270512090180548,6.104344879149569,0.34995902
Rpl37a,False,8.46351679363273,6.583171198389404,-0.9634024
Tns1,False,0.6899664781495887,5.79998489391363,-0.19312377
Cxcr2,False,0.7308097230655454,5.984261090122207,0.47693744
Arpc2,False,7.023349581257448,6.066300147248706,-0.63280255
Aamp,False,4.783429202402054,6.0141325551581515,-0.08175308
Pnkd,False,4.141207796286326,5.904395544382107,-0.59089035
Tmbim1,True,2.4939507858797225,6.165493054855079,0.63447607
Slc11a1,True,0.8938911602714222,6.1287282611226015,1.0022459
Ctdsp1,False,4.207735867801334,5.975544875172745,-0.17537563
Usp37,False,2.684401528365563,5.952447157095313,-0.3187498
Rqcd1,False,2.497858055946779,6.116287203877982,0.41143793
Zfp142,False,2.4787312700872213,5.975750585584109,-0.22558042
Bcs1l,False,1.9298231416530587,6.070274751180935,0.21337526
Rnf25,False,1.836697445925737,5.943129446040261,-0.2963376
Ttll4,False,1.7089741974813075,5.909653371716788,-0.43053985
Cyp27a1,True,0.4936396219383644,5.9807225485985365,1.7113553
Nhej1,False,1.9203074012363572,5.938516245968588,-0.31483144
Cnppd1,True,4.485638224968514,6.289865733366764,1.2513474
Fam134a,False,4.01283455728049,6.098502649755963,0.4641211
Zfand2b,False,4.070739902877314,5.952720892433056,-0.3282323
Abcb6,False,1.1069923490638327,6.047245059947927,0.16557656
Atg9a,False,1.793662188587971,5.79207069284495,-0.9019171
Ankzf1,True,2.804634924172606,6.172341598274387,0.7597082
Glb1l,False,1.183985746039662,5.877611708137839,-0.44532892
Stk16,False,3.9856660776941855,5.9604093513047,-0.28644395
Tuba4a,False,4.588960085137865,6.054695479137473,0.18389419
Dnajb2,False,1.5362720979710434,5.826671683066013,-0.6287807
Dnpep,False,3.8897972833399788,6.01694318449862,0.020828882
Gmppa,False,3.5589695322587684,6.012510175547114,-0.03295898
Chpf,False,3.076705851175025,6.001222880866052,-0.079532415
Tmem198,False,0.7036801046038486,5.766258053104674,-0.3157606
Stk11ip,True,1.633631458518234,6.315286949959367,1.1956048
Farsb,False,4.252381000701588,5.957458729102382,-0.25746983
Acsl3,False,0.9985999441610622,5.598593479002872,-0.925419
Utp14b,False,9.999999999995e-13,,
Ap1s3,False,3.152114752632407,5.9435296717765915,-0.32387674
Wdfy1,False,3.3380174456757405,5.982414394174806,-0.15988466
Mrpl44,False,2.9655903599731346,5.858769949005394,-0.7781836
Serpine2,False,0.1686998543928367,4.7356207899555764,-2.0179946
Cul3,False,3.7075562322250413,5.954597446437375,-0.31803283
Dock10,False,4.579590518046363,5.935672820970486,-0.3563575
Rhbdd1,False,2.4293162500952583,5.823025362530853,-0.91784674
Mff,False,4.718524070393092,5.902567594669727,-0.5066243
Agfg1,False,3.931481570608736,6.059334861170954,0.25123623
Pid1,False,0.6389249003339283,5.741693196419237,-0.40508282
Trip12,False,4.319055072640895,6.059519257419547,0.20578963
Fbxo36,True,0.49164356901942285,5.975591166823762,1.6959857
C130026I21Rik,False,2.3293619571312916,5.958024232246511,-0.30592966
A530032D15Rik,False,0.8838794384740805,5.74091672757206,-0.4079062
A530040E14Rik,False,2.4932550810809286,5.835953942270377,-0.85924464
Sp110,False,5.2606360574102435,6.107782422226308,0.07206354
Sp140,False,4.0755124600062524,5.954496873575798,-0.31857947
Sp100,False,5.816571938336008,6.120500982220536,-0.05992873
A630001G21Rik,False,3.506019071641441,5.9671028160236315,-0.22445957
Cab39,False,4.284587595635565,5.854969738435267,-0.72267413
Itm2c,False,5.88358693519135,6.206501934402798,0.25893688
Gpr55,False,2.9420437394031054,6.0621746605465345,0.21940163
Psmd1,False,3.8379081782683397,6.026949817881719,0.075216964
Armc9,False,1.543736937304785,5.750117920549807,-0.904476
Ncl,False,5.93109367026498,6.108217960259062,-0.10547047
Ptma,True,7.149874068418008,6.902634122908434,0.99167585
Pde6d,False,3.379854238038817,5.905469061520382,-0.4843932
Cops7b,True,2.5877958809199697,6.169794119457325,0.6539718
Dis3l2,False,2.864507159695108,5.962904207944643,-0.26746386
Eif4e2,False,4.7369741460478165,5.883012027779537,-0.930761
Gigyf2,False,3.7520397133822727,6.048741152597804,0.19365728
Inpp5d,False,4.045358070338021,5.873585863949307,-0.7583472
Atg16l1,False,3.394437471818386,5.917986870904432,-0.43160072
Sag,False,1.2828548936165358,6.096581031588007,0.34325162
Dgkd,False,2.703981341035029,5.959868125776329,-0.28235412
Usp40,False,1.8274939474818972,5.937883121193724,-0.31736958
Hjurp,True,4.035264811106251,6.200989120921069,1.0211558
Arl4c,True,3.452539338651043,6.191659889162473,0.72258544
Sh3bp4,True,1.047422752117322,6.046709889630427,0.70401245
Cops8,False,4.104723878342571,6.002798297866448,-0.05605144
Lrrfip1,False,5.622580518166829,6.177290467892174,0.32336327
Rbm44,True,1.146444667413564,6.588452068034851,2.114641
Ramp1,True,4.442390431097885,6.453020388072702,1.9919171
Ube2f,False,3.7267044136130716,5.804945189640113,-1.1314231
Scly,False,3.3245897144106396,6.096751882195734,0.32232124
Espnl,False,9.999999999995e-13,,
Ilkap,False,4.107021328208257,5.845461332105232,-0.9112097
Hes6,False,3.8462402650902803,5.8792141174860815,-0.7277565
Traf3ip1,False,1.7247492404423788,6.086407874334278,0.27805135
Asb1,False,2.365551013686886,6.069412326331119,0.19896549
Hdac4,False,3.1116899224870864,5.943765375404564,-0.36132902
Gm26720,True,0.8716528703841666,6.254984128476109,1.4613348
Ndufa10,False,4.506426688201867,5.921616131293005,-0.42016175
Myeov2,False,5.319427164855493,5.915934865190658,-0.6215431
Otos,False,1.3051036435213725,6.0730574076877355,0.2585353
Gpc1,False,1.2179992655781624,5.841894077440743,-0.5739598
Dusp28,False,2.267729417062061,5.875835243341046,-0.6784724
5033417F24Rik,False,1.0230820825693694,5.996511805014656,0.52148324
Rnpepl1,False,2.8717106622931055,5.945777548916692,-0.35146046
9430060I03Rik,False,1.6505861185475152,5.990711125984804,-0.10558738
Capn10,False,1.6458124972204025,6.015157842191673,-0.0075829304
Mterf4,False,2.5254511458954476,5.863548032233466,-0.73416734
Pask,True,0.3967523947220111,5.710203061990374,0.90109074
Ppp1r7,False,3.539556367237273,5.82335788474739,-0.8306882
Hdlbp,False,3.812729477906658,5.929503262035552,-0.4544248
Sept2,False,3.448223081941714,6.102552264436955,0.34678373
Farp2,False,1.539754194496905,5.943956334314042,-0.20640011
Stk25,False,3.243065263067508,5.925185673815042,-0.40124056
Thap4,False,2.3037898900255245,5.970199830496628,-0.25074065
Atg4b,False,3.6527120885644497,5.9226120361286325,-0.4120946
Dtymk,False,4.022421136692461,6.04528348871114,0.17486417
Ing5,False,2.854371600403022,5.908284402624013,-0.53534317
D2hgdh,False,1.9151646531343238,6.04477394489198,0.11114507
Pdcd1,True,5.9151899106510015,6.496306980317634,1.3334466
Fam174a,False,4.6093084359832925,5.996181231996102,-0.08170584
St8sia4,False,3.640347403008763,6.078877815072143,0.2469393
D1Ertd622e,False,3.7057952143057635,5.9934151004214895,-0.10705102
Ppip5k2,False,3.16311858175684,6.105878296776414,0.3608109
Gin1,False,3.3815931862791357,6.070294334670817,0.21073942
Pign,False,2.6512504492486246,5.865468008635203,-0.7453334
2310035C23Rik,True,3.564926826772588,6.167009746506481,0.6186261
Gm7160,False,1.6903165703770133,5.9025984375608,-0.45882237
Zcchc2,False,2.1325540248667814,5.940616465244399,-0.38483486
Phlpp1,True,2.361762826792472,6.157451432033647,0.5980254
Bcl2,True,5.369552805153144,6.57192598290499,1.7501305
Kdsr,False,3.3449572020906446,6.135498915145084,0.48573261
Vps4b,False,4.191512282768862,5.986393170024598,-0.14521663
Dsel,False,0.6345035748553827,5.626583497045649,-0.82364225
Tsn,False,4.897682088628096,5.959213944972098,-0.43735212
Nifk,False,3.3280495940356887,6.131039008174331,0.46692345
Clasp1,True,3.366183142910122,6.168712209838331,0.6258061
2900060B14Rik,True,3.080987282763508,6.170794190674696,0.75211906
Ralb,False,1.9126360548810146,5.9593649148859065,-0.23125121
Tmem185b,False,3.033800836634538,5.990352020432258,-0.13284785
Ptpn4,False,3.176138543156505,5.948094977369952,-0.30462307
Tmem177,True,1.9788876048296435,6.214812894074417,0.79281425
Tmem37,True,3.6693643349267377,6.160515488833687,0.5912373
Dbi,False,4.762163293239766,6.035711276332599,0.05796954
3110009E18Rik,False,2.2809752218271577,5.969909987127138,-0.25205442
Steap3,False,0.46175512225726834,5.284955334128389,-0.37261847
Insig2,False,3.7515066553466223,6.0642967283712315,0.27820498
Ccdc93,False,2.508169252604917,6.015777313634028,-0.04414899
Ddx18,True,4.156894467835745,6.116186173356446,0.5602346
Actr3,False,6.5560019739199475,6.125974477391197,-0.38781688
Slc35f5,False,1.1328133867585009,5.42999739290762,-2.0573351
Mgat5,True,1.939398379199653,6.241819501449588,0.9010811
Tmem163,False,0.8826728787472933,5.486094538595041,-1.3344853
Ccnt2,False,3.5422884902373997,6.083972356760883,0.268425
Rab3gap1,True,3.517135152250588,6.1800072126859975,0.6734415
Zranb3,False,0.9136070606480132,5.739336713033698,-0.4136514
R3hdm1,True,4.3137537019474745,6.146008595438148,0.59837043
Ubxn4,False,4.8057075638735345,5.901266005769342,-0.8125661
