,highly_variable,means,dispersions,dispersions_norm
Gm37381,False,0.08919938766903165,4.694719360612677,-1.3712405
Mrpl15,False,4.457128381753177,5.166323330401241,-0.8397634
Lypla1,False,4.6169173209840535,5.183645477687189,-0.7612701
Gm37988,True,0.23734831875609255,5.310591519819671,0.6201346
Tcea1,False,4.674956424337325,5.256801594022766,-0.42977166
Gm16041,False,0.6690599613123728,5.1677978674482965,-0.33596137
Atp6v1h,False,4.102043032733758,5.257747428720206,-0.37511873
Rb1cc1,False,3.9351811685082043,5.4009794542221465,0.51059866
4732440D04Rik,False,2.2072354352468015,5.198867281673861,-0.48013505
Pcmtd1,True,3.873932967465123,5.416876295716281,0.77239907
Gm26901,True,0.21761010236298098,5.357495269128563,0.77179426
Rrs1,False,2.9918865185175725,5.198737443309801,-0.72113246
Adhfe1,False,0.25806617952446204,5.084556110712709,-0.11073346
Mybl1,False,0.15106373409645707,5.205391889456605,0.2799797
Vcpip1,False,3.558348482309388,5.3280219737414845,0.15383956
1700034P13Rik,False,0.26600459596807496,5.181960792563199,0.20421708
Sgk3,False,1.8927548836213817,5.272784075633739,0.07065641
Mcmdc2,False,0.7259954697789565,5.1807859753694645,-0.28472456
Snhg6,False,4.417257929629256,5.322223212652234,0.023586264
Cops5,False,4.131257884444273,5.226664421792972,-0.56732965
Cspp1,True,3.9356846973916713,5.4329559274164465,0.70833457
Arfgef1,False,3.5992772661725776,5.303507134600508,-0.016820543
Cpa6,False,0.4988342868336548,5.151305313128771,-0.40102285
Prex2,False,0.26228607983572283,4.987414633208211,-0.42483294
A830018L16Rik,False,0.14313127965347433,4.76811530420475,-1.1339204
Ncoa2,False,3.9099777804523677,5.348495867780779,0.2963686
Tram1,False,5.319469688456524,5.317310395949762,-0.3472869
Lactb2,False,2.938387692438175,5.204565303511265,-0.36709064
Xkr9,False,0.15189856523979764,5.301815486303167,0.59175795
Terf1,False,3.606509659160902,5.35053273447905,0.31054828
Rpl7,False,7.828945285342863,5.600101956487789,-0.81328744
Rdh10,True,1.2352090655294867,5.414811925713158,0.81143785
Stau2,False,0.3311147127627207,4.826278607083159,-0.9458538
Ube2w,False,3.3680074850261668,5.260760977032072,-0.24762008
Tceb1,False,5.21717500066549,5.316326583331785,-0.35049728
Tmem70,False,3.6474698726336614,5.159272216494018,-1.0209122
Ly96,True,3.3158627181139906,5.377110349560957,0.6406374
Pi15,True,0.154520297260895,5.461763812070044,1.1089386
Il17f,False,0.11631235299015603,4.909200340463626,-0.6777328
Mcm3,True,4.0940764232985485,5.79019978715211,2.917457
Paqr8,False,0.22699448589079257,5.062379154125217,-0.18244094
Tram2,False,1.8215821286903584,5.169826262386284,-0.5157509
Tmem14a,False,1.6308547479637385,5.321032063844669,0.34545803
Kcnq5,False,0.6934690778982863,5.053591189179686,-0.7864953
Gm26580,False,0.05182616291847406,4.0666176763940465,-3.402159
Ogfrl1,False,1.1862341464131723,5.175251860406807,-0.39123487
B3gat2,False,0.8311135409840958,5.1920465006048975,-0.2403029
Smap1,False,3.934554409298627,5.2717935276592565,-0.28826055
Sdhaf4,False,3.8136966782259223,5.277254961880286,-0.1995751
Fam135a,False,0.6835460949461236,5.365196786332183,0.44275776
Lmbrd1,False,3.6015019628698326,5.321546508576274,0.108760595
Phf3,False,3.800623179740518,5.300932884225469,-0.034741193
Ptp4a1,False,3.9064808172391117,5.307930705101186,0.013974152
