,highly_variable,means,dispersions,dispersions_norm
Tram2,False,1.810894619072214,5.170105137556526,-0.5565272
Gm28287,False,9.999999999995e-13,,
Tmem14a,False,1.6289161104188143,5.3127407116563035,0.26095873
Gsta3,True,0.1974705236021685,6.184806470069915,2.7141325
Gm28836,False,9.999999999995e-13,,
Khdc1a,False,9.999999999995e-13,,
Khdc1c,False,9.999999999995e-13,,
Khdc1b,False,9.999999999995e-13,,
Kcnq5,False,0.687100592785268,5.053588888944996,-0.7316398
Gm26580,False,0.051188381449150964,4.0665954953527015,-2.2926443
Rims1,False,9.999999999995e-13,,
4933415F23Rik,True,0.09679669681100178,5.420259222778067,0.90698606
Gm27028,False,9.999999999995e-13,,
Gm29107,False,9.999999999995e-13,,
Ogfrl1,False,1.18334486722113,5.168658023970228,-0.39190033
Gm28822,False,9.999999999995e-13,,
B3gat2,False,0.8239167782130209,5.192069374900908,-0.2813986
Smap1,False,3.9296264613252747,5.27234405338046,-0.3000524
Sdhaf4,False,3.818784485089502,5.291878498607555,-0.16196857
Fam135a,False,0.6875546669199882,5.348349908487444,0.22671586
Col9a1,False,9.999999999995e-13,,
Col19a1,False,9.999999999995e-13,,
Lmbrd1,False,3.601584103662579,5.330074906212799,0.108031735
Gm28237,False,9.999999999995e-13,,
Gm29414,False,9.999999999995e-13,,
Adgrb3,False,9.999999999995e-13,,
4931408C20Rik,False,9.999999999995e-13,,
Gm5524,False,9.999999999995e-13,,
Gm597,False,9.999999999995e-13,,
Gm9898,False,9.999999999995e-13,,
Phf3,False,3.801347481867266,5.315516390357036,0.0051214327
Ptp4a1,False,3.9015799818095283,5.306038643019403,-0.06187426
Gm29669,False,9.999999999995e-13,,
Gm28644,False,9.999999999995e-13,,
4931428L18Rik,False,9.999999999995e-13,,
Gm29128,False,9.999999999995e-13,,
Lgsn,False,9.999999999995e-13,,
Pih1d3,False,9.999999999995e-13,,
Khdrbs2,False,9.999999999995e-13,,
Gm5415,False,9.999999999995e-13,,
Gm37724,False,9.999999999995e-13,,
Gm37591,False,9.999999999995e-13,,
Prim2,False,2.387829292001373,5.076203290176328,-1.2900119
Rab23,False,1.946551152724934,5.238277138960725,-0.16581364
Bag2,False,1.7660168524282498,5.1815643023242,-0.49085137
Zfp451,False,3.200432010676698,5.298228712650059,-0.028213313
Bend6,False,0.10327079546073212,4.984307363425655,-0.12346541
Dst,False,0.7244625090875186,5.241766734816684,-0.119817704
Gm37958,False,9.999999999995e-13,,
Gm37233,False,0.5263650817021929,5.126304531901985,-0.49521962
Ccdc115,False,3.9246972618343365,5.2241046258424895,-0.6410442
Gm28306,False,9.999999999995e-13,,
Imp4,False,4.11080498876914,5.262566215436506,-0.40103883
Ptpn18,False,6.390126778305206,5.60235586428296,0.074892774
4930568A12Rik,False,0.2657864188788951,4.965986234292732,-0.16677073
Prss39,False,0.10178074226002908,4.935824894780871,-0.23806255
Cfc1,False,9.999999999995e-13,,
Prss40,False,9.999999999995e-13,,
1700101I19Rik,False,9.999999999995e-13,,
Amer3,False,9.999999999995e-13,,
Arhgef4,False,1.675148818236705,5.19002257523402,-0.44237456
Gm38336,False,0.27979779284731915,5.041454092841857,0.011611275
Fam168b,False,3.1153184941548284,5.288571034995924,-0.10162597
Plekhb2,False,4.193054005020866,5.219402998200591,-0.6664431
Gm37068,False,9.999999999995e-13,,
Gm28415,False,9.999999999995e-13,,
1110002O04Rik,False,9.999999999995e-13,,
Gm37146,False,9.999999999995e-13,,
Gm33222,False,9.999999999995e-13,,
4930535G08Rik,False,9.999999999995e-13,,
Hs6st1,False,1.2421444252831728,5.201721151018174,-0.2710478
Gm37335,False,9.999999999995e-13,,
Gm33280,False,0.05738289473992696,4.3942344304379555,-1.51821
Uggt1,False,3.4688667958848742,5.325191201954901,0.07351012
Neurl3,True,2.822404063417637,5.578476090437031,1.2881387
Arid5a,True,3.8607325104863643,5.464568610589456,1.0587322
4930403P22Rik,False,0.6637491979822224,5.128892973249051,-0.48680383
Kansl3,False,3.908613784567155,5.320434372290526,0.039885346
Fer1l5,False,9.999999999995e-13,,
Lman2l,False,2.9124051423708672,5.352267240694323,0.25664106
Cnnm4,False,1.6593659040750035,5.0124238000320265,-1.4602448
Cnnm3,False,1.947695493310152,5.231856886800411,-0.20260997
Gm38033,False,9.999999999995e-13,,
Ankrd23,False,0.24269203532075792,5.058917831945105,0.05289
Gm43543,False,9.999999999995e-13,,
Ankrd39,False,3.272330059804618,5.249880569946413,-0.39573085
Sema4c,False,0.7176725979725707,5.242475884837224,-0.11751205
Fam178b,False,9.999999999995e-13,,
Cox5b,False,6.263711218809993,5.414385678728668,-0.49753344
Actr1b,False,3.2850925139368408,5.253156178310642,-0.37083137
4933424G06Rik,False,0.21749055762229824,4.763562412574968,-0.64523625
Gm33533,False,0.048447756679099827,4.7036653462808875,-0.78681386
Zap70,False,5.391978187175083,5.4047853993286346,-0.09165081
Tmem131,False,2.6864214237060224,5.370004507725126,0.33752185
Vwa3b,False,0.4281622771924986,4.97146902620292,-0.15381116
Gm37020,False,9.999999999995e-13,,
Cnga3,False,9.999999999995e-13,,
Inpp4a,False,3.3489789975582536,5.359862261301727,0.44029298
4930439A04Rik,False,9.999999999995e-13,,
Coa5,False,3.688350627255973,5.217671228432849,-0.68652016
Unc50,False,3.9656074297058903,5.308928787959505,-0.11596218
Mgat4a,False,0.8580040816503084,5.157860956802098,-0.39262033
2010300C02Rik,False,0.6646503124923042,5.156234829762023,-0.39790735
4930556I23Rik,False,9.999999999995e-13,,
Tsga10,False,0.7409865400892324,5.35026928698634,0.23295633
Gm26805,False,0.04881055412027063,4.7113087420946185,-0.76874727
Lipt1,False,0.7916594658014625,5.184218450271715,-0.30692428
Mitd1,False,4.003938370193297,5.24131994115508,-0.53167903
Mrpl30,False,4.78111443317087,5.223177520930828,-0.6174421
Lyg2,False,9.999999999995e-13,,
Gm15457,False,9.999999999995e-13,,
Lyg1,False,9.999999999995e-13,,
Txndc9,False,4.594446686500138,5.2620551659485875,-0.44724545
Eif5b,False,5.050493545036754,5.438581268509061,0.018781088
Rev1,False,2.0361892543952274,5.357417162621275,0.45925656
Gm5099,False,9.999999999995e-13,,
Aff3,False,2.9176059346778507,5.323962701673122,0.12757419
Gm16150,False,9.999999999995e-13,,
Gm16151,False,9.999999999995e-13,,
Gm16152,True,3.6443915269413285,5.4344753685881395,0.846011
Lonrf2,False,9.999999999995e-13,,
Chst10,True,1.8838150410166243,5.5126972575680355,1.4069678
Gm37707,False,9.999999999995e-13,,
Nms,False,9.999999999995e-13,,
Pdcl3,False,4.286838858889567,5.258853666070339,-0.42386675
Gm37821,False,9.999999999995e-13,,
Npas2,False,9.999999999995e-13,,
Rpl31,False,7.834013605984905,5.714463413835576,-0.66434354
Tbc1d8,False,0.0743732241491044,4.588615507523347,-1.058755
Cnot11,False,3.5496900382352568,5.174613308866239,-0.9908852
Rnf149,False,2.708008767677995,5.219566966890103,-0.34846362
Creg2,True,0.08926199461845419,5.335396403018216,0.70639735
D930019O06Rik,False,9.999999999995e-13,,
Rfx8,False,0.19034289494398376,5.049542205913649,0.030729001
Gm3646,False,9.999999999995e-13,,
1700066B17Rik,True,0.4239495281033521,5.443577198228537,0.96210235
Map4k4,False,4.485852991780035,5.435102117572259,0.31031084
Il1r2,True,2.793335495875849,5.580954855384389,1.2994418
Gm16894,False,0.5802754556046889,4.773407735232425,-1.642592
Il1r1,False,0.5804029777827734,5.332777896791199,0.17608662
Il1rl2,False,1.582281721183567,5.268757776362272,0.008879748
Il1rl1,True,2.805893289432272,5.462185210552138,0.7578599
Il18r1,True,4.731187108124977,5.689607546422238,1.424472
Il18rap,True,3.6296437950909834,5.459186184785615,1.0206852
Gm35801,False,9.999999999995e-13,,
Slc9a4,False,9.999999999995e-13,,
Slc9a2,False,9.999999999995e-13,,
Gm37623,False,9.999999999995e-13,,
Gm37915,False,9.999999999995e-13,,
Mfsd9,False,0.3048325089792438,5.3223631743510795,0.67559093
Tmem182,False,9.999999999995e-13,,
4930448I06Rik,False,9.999999999995e-13,,
Gm28634,False,9.999999999995e-13,,
Gm29260,False,9.999999999995e-13,,
Gm9915,False,9.999999999995e-13,,
Gm29664,False,9.999999999995e-13,,
